Items,Condition,Verb,VerbType,Mood,TypeMood,NPI,NPIType,NPIType2,EmbeddedVerb,Group,SentenceNum,ItemNum,Sentence,LN_reading_experiment
Critical Item,NR+ind,opinar,NR,ind,,no,,,despegar,B,137,23,Daniel no opinaba que el avión iba a despegar a las seis.,Daniel opinaba que el avión no iba a despegar a las seis.
Control,NNR+ind,asegurar,NNR,ind,,no,,,despegar,C,138,23,Daniel no aseguraba que el avión iba a despegar a las seis.,Daniel aseguraba que el avión no iba a despegar a las seis.
Critical Item,NR+subj+NPI,dar la impresión,NR,subj,se,yes,hasta,hasta,estrenar,D,139,24,A Rubén no le daba la impresión de que la película se fuese a estrenar hasta diciembre.,A Rubén le daba la impresión de que la película no se iba a estrenar hasta diciembre.
Critical Item,NR+subj,dar la impresión,NR,subj,se,no,,,estrenar,E,140,24,A Rubén no le daba la impresión de que la película se fuese a estrenar en diciembre.,A Rubén le daba la impresión de que la película no se iba a estrenar en diciembre.
Control,NNR+subj,recordar,NNR,subj,se,no,,,estrenar,F,141,24,Rubén no recordaba que la película se fuese a estrenar en diciembre.,Rubén recordaba que la película no se iba a estrenar en diciembre.
Control,NR+ind+NPI,dar la impresión,NR,ind,,yes,hasta,hasta,estrenar,A,142,24,A Rubén no le daba la impresión de que la película se iba a estrenar hasta diciembre.,A Rubén le daba la impresión de que la película no se iba a estrenar hasta diciembre.
Critical Item,NR+ind,dar la impresión,NR,ind,,no,,,estrenar,B,143,24,A Rubén no le daba la impresión de que la película se iba a estrenar en diciembre.,A Rubén le daba la impresión de que la película no se iba a estrenar en diciembre.
Control,NNR+ind,recordar,NNR,ind,,no,,,estrenar,C,144,24,Rubén no recordaba que la película se iba a estrenar en diciembre.,Rubén recordaba que la película no se iba a estrenar en diciembre.
Critical Item,NR+subj+NPI,pensar,NR,subj,ra,yes,hasta,hasta,despertarse,E,145,25,Iván no pensaba que Silvia se fuera a despertar hasta las doce.,Iván pensaba que Silvia no se iba a despertar hasta las doce.
Critical Item,NR+subj,pensar,NR,subj,ra,no,,,despertarse,F,146,25,Iván no pensaba que Silvia se fuera a despertar a las doce.,Iván pensaba que Silvia no se iba a despertar a las doce.
Control,NNR+subj,saber,NNR,subj,ra,no,,,despertarse,A,147,25,Iván no sabía que Silvia se fuera a despertar a las doce.,Iván sabía que Silvia no se iba a despertar a las doce.
Control,NR+ind+NPI,pensar,NR,ind,,yes,hasta,hasta,despertarse,B,148,25,Iván no pensaba que Silvia se iba a despertar hasta las doce.,Iván pensaba que Silvia no se iba a despertar hasta las doce.
Critical Item,NR+ind,pensar,NR,ind,,no,,,despertarse,C,149,25,Iván no pensaba que Silvia se iba a despertar a las doce.,Iván pensaba que Silvia no se iba a despertar a las doce.
Control,NNR+ind,saber,NNR,ind,,no,,,despertarse,D,150,25,Iván no sabía que Silvia se iba a despertar a las doce.,Iván sabía que Silvia no se iba a despertar a las doce.
Critical Item,NR+subj+NPI,creer,NR,subj,ra,yes,hasta,hasta,mandar,E,151,26,Elena no creía que Marta fuera a mandar la carta hasta las once.,Elena creía que Marta no iba a mandar la carta hasta las once.
Critical Item,NR+subj,creer,NR,subj,ra,no,,,mandar,F,152,26,Elena no creía que Marta fuera a mandar la carta a las once.,Elena creía que Marta no iba a mandar la carta a las once.
Control,NNR+subj,estar seguro,NNR,subj,ra,no,,,mandar,A,153,26,Elena no estaba segura de que Marta fuera a mandar la carta a las once.,Elena estaba segura de que Marta no iba a mandar la carta a las once.
Control,NR+ind+NPI,creer,NR,ind,,yes,hasta,hasta,mandar,B,154,26,Elena no creía que Marta iba a mandar la carta hasta las once.,Elena creía que Marta no iba a mandar la carta hasta las once.
Critical Item,NR+ind,creer,NR,ind,,no,,,mandar,C,155,26,Elena no creía que Marta iba a mandar la carta a las once.,Elena creía que Marta no iba a mandar la carta a las once.
Control,NNR+ind,estar seguro,NNR,ind,,no,,,mandar,D,156,26,Elena no estaba segura de que Marta iba a mandar la carta a las once.,Elena estaba segura de que Marta no iba a mandar la carta a las once.
Critical Item,NR+subj+NPI,parecer,NR,subj,ra,yes,hasta,hasta,comenzar,E,157,27,A Lucía no le parecía que los árboles fueran a comenzar a florecer hasta abril.,A Lucía le parecía que los árboles no iban a florecer hasta abril.
Critical Item,NR+subj,parecer,NR,subj,ra,no,,,comenzar,F,158,27,A Lucía no le parecía que los árboles fueran a comenzar a florecer en abril.,A Lucía le parecía que los árboles no iban a florecer en abril.
Control,NNR+subj,resultar evidente,NNR,subj,ra,no,,,comenzar,A,159,27,A Lucía no le resultaba evidente que los árboles fueran a comenzar a florecer en abril.,A Lucía le resultaba evidente que los árboles no iban a florecer en abril.
Control,NR+ind+NPI,parecer,NR,ind,,yes,hasta,hasta,comenzar,B,160,27,A Lucía no le parecía que los árboles iban a comenzar a florecer hasta abril.,A Lucía le parecía que los árboles no iban a florecer hasta abril.
Critical Item,NR+ind,parecer,NR,ind,,no,,,comenzar,C,161,27,A Lucía no le parecía que los árboles iban a comenzar a florecer en abril.,A Lucía le parecía que los árboles no iban a florecer en abril.
Control,NNR+ind,resultar evidente,NNR,ind,,no,,,comenzar,D,162,27,A Lucía no le resultaba evidente que los árboles iban a comenzar a florecer en abril.,A Lucía le resultaba evidente que los árboles no iban a florecer en abril.
Critical Item,NR+subj+NPI,considerar,NR,subj,ra,yes,hasta,hasta,zarpar,E,163,28,Adrián no consideraba que el barco fuera a zarpar hasta mediodía. ,Adrián consideraba que el barco no iba a zarpar hasta mediodía.
Critical Item,NR+subj,considerar,NR,subj,ra,no,,,zarpar,F,164,28,Adrián no consideraba que el barco fuera a zarpar a mediodía.,Adrián consideraba que el barco no iba a zarpar a mediodía.
Control,NNR+subj,ser consciente,NNR,subj,ra,no,,,zarpar,A,165,28,Adrián no era consciente de que el barco fuera a zarpar a mediodía. ,Adrián era consciente de que el barco no iba a zarpar a mediodía.
Control,NR+ind+NPI,considerar,NR,ind,,yes,hasta,hasta,zarpar,B,166,28,Adrián no consideraba que el barco iba a zarpar hasta mediodía. ,Adrián consideraba que el barco no iba a zarpar hasta mediodía.
Critical Item,NR+ind,considerar,NR,ind,,no,,,zarpar,C,167,28,Adrián no consideraba que el barco iba a zarpar a mediodía. ,Adrián consideraba que el barco no iba a zarpar a mediodía.
Control,NNR+ind,ser consciente,NNR,ind,,no,,,zarpar,D,168,28,Adrián no era consciente de que el barco iba a zarpar a mediodía. ,Adrián era consciente de que el barco no iba a zarpar a mediodía.
Critical Item,NR+subj+NPI,opinar,NR,subj,ra,yes,hasta,hasta,aterrizar,E,169,29,Natalia no opinaba que el avión fuera a aterrizar hasta las doce.,Natalia opinaba que el avión no iba a aterrizar hasta las doce.
Critical Item,NR+subj,opinar,NR,subj,ra,no,,,aterrizar,F,170,29,Natalia no opinaba que el avión fuera a aterrizar a las doce.,Natalia opinaba que el avión no iba a aterrizar a las doce.
Control,NNR+subj,asegurar,NNR,subj,ra,no,,,aterrizar,A,171,29,Natalia no aseguraba que el avión fuera a aterrizar a las doce.,Natalia aseguraba que el avión no iba a aterrizar a las doce.
Control,NR+ind+NPI,opinar,NR,ind,,yes,hasta,hasta,aterrizar,B,172,29,Natalia no opinaba que el avión iba a aterrizar hasta las doce.,Natalia opinaba que el avión no iba a aterrizar hasta las doce.
Critical Item,NR+ind,opinar,NR,ind,,no,,,aterrizar,C,173,29,Natalia no opinaba que el avión iba a aterrizar a las doce.,Natalia opinaba que el avión no iba a aterrizar a las doce.
Control,NNR+ind,asegurar,NNR,ind,,no,,,aterrizar,D,174,29,Natalia no aseguraba que el avión iba a aterrizar a las doce.,Natalia aseguraba que el avión no iba a aterrizar a las doce.
Critical Item,NR+subj+NPI,dar la impresión,NR,subj,ra,yes,hasta,hasta,tomar una decisión,E,175,30,A Claudia no le daba la impresión de que Pablo fuera a tomar la decisión hasta abril.,A Claudia le daba la impresión de que Pablo no iba a tomar la decisión hasta abril.
Critical Item,NR+subj,dar la impresión,NR,subj,ra,no,,,tomar una decisión,F,176,30,A Claudia no le daba la impresión de que Pablo fuera a tomar la decisión en abril.,A Claudia le daba la impresión de que Pablo no iba a tomar la decisión en abril.
Control,NNR+subj,recordar,NNR,subj,ra,no,,,tomar una decisión,A,177,30,Claudia no recordaba que Pablo fuera a tomar la decisión en abril.,Claudia recordaba que Pablo no iba a tomar la decisión en abril.
Control,NR+ind+NPI,dar la impresión,NR,ind,,yes,hasta,hasta,tomar una decisión,B,178,30,A Claudia no le daba la impresión de que Pablo iba a tomar la decisión hasta abril.,A Claudia le daba la impresión de que Pablo no iba a tomar la decisión hasta abril.
Critical Item,NR+ind,dar la impresión,NR,ind,,no,,,tomar una decisión,C,179,30,A Claudia no le daba la impresión de que Pablo iba a tomar la decisión en abril.,A Claudia le daba la impresión de que Pablo no iba a tomar la decisión en abril.
Control,NNR+ind,recordar,NNR,ind,,no,,,tomar una decisión,D,180,30,Claudia no recordaba que Pablo iba a tomar la decisión en abril.,Claudia recordaba que Pablo no iba a tomar la decisión en abril.
Critical Item,NR+subj+NPI,pensar,NR,subj,se,yes,hasta,hasta,acabar,F,181,31,Álvaro no pensaba que el concierto fuese a acabar hasta las ocho.,Álvaro pensaba que el concierto no iba a acabar hasta las ocho.
Critical Item,NR+subj,pensar,NR,subj,se,no,,,acabar,A,182,31,Álvaro no pensaba que el concierto fuese a acabar a las ocho.,Álvaro pensaba que el concierto no iba a acabar a las ocho.
Control,NNR+subj,saber,NNR,subj,se,no,,,acabar,B,183,31,Álvaro no sabía que el concierto fuese a acabar a las ocho.,Álvaro sabía que el concierto no iba a acabar a las ocho.
Control,NR+ind+NPI,pensar,NR,ind,,yes,hasta,hasta,acabar,C,184,31,Álvaro no pensaba que el concierto iba a acabar hasta las ocho.,Álvaro pensaba que el concierto no iba a acabar hasta las ocho.
Critical Item,NR+ind,pensar,NR,ind,,no,,,acabar,D,185,31,Álvaro no pensaba que el concierto iba a acabar a las ocho.,Álvaro pensaba que el concierto no iba a acabar a las ocho.
Control,NNR+ind,saber,NNR,ind,,no,,,acabar,E,186,31,Álvaro no sabía que el concierto iba a acabar a las ocho.,Álvaro sabía que el concierto no iba a acabar a las ocho.
Critical Item,NR+subj+NPI,creer,NR,subj,se,yes,hasta,hasta,obtener,F,187,32,Paula no creía que Sofía fuese a obtener el doctorado hasta mayo.,Paula creía que Sofía no iba a obtener el doctorado hasta mayo.
Critical Item,NR+subj,creer,NR,subj,se,no,,,obtener,A,188,32,Paula no creía que Sofía fuese a obtener el doctorado en mayo.,Paula creía que Sofía no iba a obtener el doctorado en mayo.
Control,NNR+subj,estar seguro,NNR,subj,se,no,,,obtener,B,189,32,Paula no estaba segura de que Sofía fuese a obtener el doctorado en mayo.,Paula estaba segura de que Sofía no iba a obtener el doctorado en mayo.
Control,NR+ind+NPI,creer,NR,ind,,yes,hasta,hasta,obtener,C,190,32,Paula no creía que Sofía iba a obtener el doctorado hasta mayo.,Paula creía que Sofía no iba a obtener el doctorado hasta mayo.
Critical Item,NR+ind,creer,NR,ind,,no,,,obtener,D,191,32,Paula no creía que Sofía iba a obtener el doctorado en mayo.,Paula creía que Sofía no iba a obtener el doctorado en mayo.
Control,NNR+ind,estar seguro,NNR,ind,,no,,,obtener,E,192,32,Paula no estaba segura de que Sofía iba a obtener el doctorado en mayo.,Paula estaba segura de que Sofía no iba a obtener el doctorado en mayo.
Critical Item,NR+subj+NPI,parecer,NR,subj,se,yes,hasta,hasta,inaugurar,F,193,33,A Víctor no le parecía que Pedro fuese a inaugurar las luces de Navidad hasta noviembre.,A Víctor le parecía que Pedro no iba a inaugurar las luces de Navidad hasta noviembre.
Critical Item,NR+subj,parecer,NR,subj,se,no,,,inaugurar,A,194,33,A Víctor no le parecía que Pedro fuese a inaugurar las luces de Navidad en noviembre.,A Víctor le parecía que Pedro no iba a inaugurar las luces de Navidad en noviembre.
Control,NNR+subj,resultar evidente,NNR,subj,se,no,,,inaugurar,B,195,33,A Víctor no le resultaba evidente que Pedro fuese a inaugurar las luces de Navidad en noviembre.,A Víctor le resultaba evidente que Pedro no iba a inaugurar las luces de Navidad en noviembre.
Control,NR+ind+NPI,parecer,NR,ind,,yes,hasta,hasta,inaugurar,C,196,33,A Víctor no le parecía que Pedro iba a inaugurar las luces de Navidad hasta noviembre.,A Víctor le parecía que Pedro no iba a inaugurar las luces de Navidad hasta noviembre.
Critical Item,NR+ind,parecer,NR,ind,,no,,,inaugurar,D,197,33,A Víctor no le parecía que Pedro iba a inaugurar las luces de Navidad en noviembre.,A Víctor le parecía que Pedro no iba a inaugurar las luces de Navidad en noviembre.
Control,NNR+ind,resultar evidente,NNR,ind,,no,,,inaugurar,E,198,33,A Víctor no le resultaba evidente Pedro iba a inaugurar las luces de Navidad en noviembre.,A Víctor le resultaba evidente que Pedro no iba a inaugurar las luces de Navidad en noviembre.
Critical Item,NR+subj+NPI,considerar,NR,subj,se,yes,hasta,hasta,graduar,F,199,34,e,Mario consideraba que Pablo no se iba a graduar hasta mayo.
Critical Item,NR+subj,considerar,NR,subj,se,no,,,graduar,A,200,34,Mario no consideraba que Pablo se fuese a graduar en mayo.,Mario consideraba que Pablo no se iba a graduar en mayo.
Control,NNR+subj,ser consciente,NNR,subj,se,no,,,graduar,B,201,34,Mario no era consciente de que Pablo se fuese a graduar en mayo.,Mario era consciente de que Pablo no se iba a graduar en mayo.
Control,NR+ind+NPI,considerar,NR,ind,,yes,hasta,hasta,graduar,C,202,34,Mario no consideraba que Pablo se iba a graduar hasta mayo.,Mario consideraba que Pablo no se iba a graduar hasta mayo.
Critical Item,NR+ind,considerar,NR,ind,,no,,,graduar,D,203,34,Mario no consideraba que Pablo se iba a graduar en mayo.,Mario consideraba que Pablo no se iba a graduar en mayo.
Control,NNR+ind,ser consciente,NNR,ind,,no,,,graduar,E,204,34,Mario no era consciente de que Pablo se iba a graduar en mayo.,Mario era consciente de que Pablo no se iba a graduar en mayo.
Critical Item,NR+subj+NPI,opinar,NR,subj,se,yes,hasta,hasta,recibir la carta ,F,205,35,Hugo no opinaba que Raúl fuese a recibir la carta hasta el día siguiente.,Hugo opinaba que Raúl no iba a recibir una carta hasta el día siguiente.
Critical Item,NR+subj,opinar,NR,subj,se,no,,,recibir la carta ,A,206,35,Hugo no opinaba que Raúl fuese a recibir la carta al día siguiente.,Hugo opinaba que Raúl no iba a recibir una carta al día siguiente.
Control,NNR+subj,asegurar,NNR,subj,se,no,,,recibir la carta ,B,207,35,Hugo no aseguraba que Raúl fuese a recibir la carta al día siguiente.,Hugo aseguraba que Raúl no iba a recibir una carta al día siguiente.
Control,NR+ind+NPI,opinar,NR,ind,,yes,hasta,hasta,recibir la carta ,C,208,35,Hugo no opinaba que Raúl iba a recibir la carta hasta el día siguiente.,Hugo opinaba que Raúl no iba a recibir una carta hasta el día siguiente.
Critical Item,NR+ind,opinar,NR,ind,,no,,,recibir la carta ,D,209,35,Hugo no opinaba que Raúl iba a recibir la carta al día siguiente.,Hugo opinaba que Raúl no iba a recibir una carta al día siguiente.
Control,NNR+ind,asegurar,NNR,ind,,no,,,recibir la carta ,E,210,35,Hugo no aseguraba que Raúl iba a recibir la carta al día siguiente.,Hugo aseguraba que Raúl no iba a recibir una carta al día siguiente.
Critical Item,NR+subj+NPI,dar la impresión,NR,subj,se,yes,hasta,hasta,comenzar,F,211,36,A Carolina no le daba la impresión de que la obra fuese a comenzar hasta diciembre.,A Carolina le daba la impresión de que la obra no iba a comenzar hasta diciembre.
Critical Item,NR+subj,dar la impresión,NR,subj,se,no,,,comenzar,A,212,36,A Carolina no le daba la impresión de que la obra fuese a comenzar en diciembre.,A Carolina le daba la impresión de que la obra no iba a comenzar en diciembre.
Control,NNR+subj,recordar,NNR,subj,se,no,,,comenzar,B,213,36,Carolina no recordaba que la obra fuese a comenzar en diciembre.,Carolina recordaba que la obra no iba a comenzar en diciembre.
Control,NR+ind+NPI,dar la impresión,NR,ind,,yes,hasta,hasta,comenzar,C,214,36,A Carolina no le daba la impresión de que la obra iba a comenzar hasta diciembre.,A Carolina le daba la impresión de que la obra no iba a comenzar hasta diciembre.
Critical Item,NR+ind,dar la impresión,NR,ind,,no,,,comenzar,D,215,36,A Carolina no le daba la impresión de que la obra iba a comenzar en diciembre.,A Carolina le daba la impresión de que la obra no iba a comenzar en diciembre.
Control,NNR+ind,recordar,NNR,ind,,no,,,comenzar,E,216,36,Carolina no recordaba que la obra iba a comenzar en diciembre.,Carolina recordaba que la obra no iba a comenzar en diciembre.
Fillers,NNR+ind+NPI,saber,NNR,ind,,yes,hasta,hasta,regresar,A,217,37,Irene sabía que el invitado iba a regresar hasta las ocho.,Irene sabía que el invitado no iba a regresar hasta las ocho.
Fillers,NNR+ind+NPI,saber,NNR,ind,,yes,hasta,hasta,regresar,B,217,37,Irene sabía que el invitado iba a regresar hasta las ocho.,Irene sabía que el invitado no iba a regresar hasta las ocho.
Fillers,NNR+ind+NPI,saber,NNR,ind,,yes,hasta,hasta,regresar,C,217,37,Irene sabía que el invitado iba a regresar hasta las ocho.,Irene sabía que el invitado no iba a regresar hasta las ocho.
Fillers,NNR+ind+NPI,saber,NNR,ind,,yes,hasta,hasta,regresar,D,217,37,Irene sabía que el invitado iba a regresar hasta las ocho.,Irene sabía que el invitado no iba a regresar hasta las ocho.
Fillers,NNR+ind+NPI,saber,NNR,ind,,yes,hasta,hasta,regresar,E,217,37,Irene sabía que el invitado iba a regresar hasta las ocho.,Irene sabía que el invitado no iba a regresar hasta las ocho.
Fillers,NNR+ind+NPI,saber,NNR,ind,,yes,hasta,hasta,regresar,F,217,37,Irene sabía que el invitado iba a regresar hasta las ocho.,Irene sabía que el invitado no iba a regresar hasta las ocho.
Fillers,NNR+ind+NPI,estar seguro,NNR,ind,,yes,en,en,vistar,A,218,38,Paulina estaba segura de que su madre había visitado Barcelona en años.,Paulina estaba segura de que su madre no había visitado Barcelona en años.
Fillers,NNR+ind+NPI,estar seguro,NNR,ind,,yes,en,en,vistar,B,218,38,Paulina estaba segura de que su madre había visitado Barcelona en años.,Paulina estaba segura de que su madre no había visitado Barcelona en años.
Fillers,NNR+ind+NPI,estar seguro,NNR,ind,,yes,en,en,vistar,C,218,38,Paulina estaba segura de que su madre había visitado Barcelona en años.,Paulina estaba segura de que su madre no había visitado Barcelona en años.
Fillers,NNR+ind+NPI,estar seguro,NNR,ind,,yes,en,en,vistar,D,218,38,Paulina estaba segura de que su madre había visitado Barcelona en años.,Paulina estaba segura de que su madre no había visitado Barcelona en años.
Fillers,NNR+ind+NPI,estar seguro,NNR,ind,,yes,en,en,vistar,E,218,38,Paulina estaba segura de que su madre había visitado Barcelona en años.,Paulina estaba segura de que su madre no había visitado Barcelona en años.
Fillers,NNR+ind+NPI,estar seguro,NNR,ind,,yes,en,en,vistar,F,218,38,Paulina estaba segura de que su madre había visitado Barcelona en años.,Paulina estaba segura de que su madre no había visitado Barcelona en años.
Fillers,NNR+ind+NPI,ser consciente,NNR,ind,,yes,hasta,hasta,recibir un paquete,A,219,39,Leonardo era consciente de que Carla iba a recibir el paquete hasta enero.,Leonardo era consciente de que Carla no iba a recibir el paquete hasta enero.
Fillers,NNR+ind+NPI,ser consciente,NNR,ind,,yes,hasta,hasta,recibir un paquete,B,219,39,Leonardo era consciente de que Carla iba a recibir el paquete hasta enero.,Leonardo era consciente de que Carla no iba a recibir el paquete hasta enero.
Fillers,NNR+ind+NPI,ser consciente,NNR,ind,,yes,hasta,hasta,recibir un paquete,C,219,39,Leonardo era consciente de que Carla iba a recibir el paquete hasta enero.,Leonardo era consciente de que Carla no iba a recibir el paquete hasta enero.
Fillers,NNR+ind+NPI,ser consciente,NNR,ind,,yes,hasta,hasta,recibir un paquete,D,219,39,Leonardo era consciente de que Carla iba a recibir el paquete hasta enero.,Leonardo era consciente de que Carla no iba a recibir el paquete hasta enero.
Fillers,NNR+ind+NPI,ser consciente,NNR,ind,,yes,hasta,hasta,recibir un paquete,E,219,39,Leonardo era consciente de que Carla iba a recibir el paquete hasta enero.,Leonardo era consciente de que Carla no iba a recibir el paquete hasta enero.
Fillers,NNR+ind+NPI,ser consciente,NNR,ind,,yes,hasta,hasta,recibir un paquete,F,219,39,Leonardo era consciente de que Carla iba a recibir el paquete hasta enero.,Leonardo era consciente de que Carla no iba a recibir el paquete hasta enero.
Fillers,NNR+ind+NPI,resultar evidente,NNR,ind,,yes,en,en,aumentar,A,220,40,A Verónica le resultaba evidente que el precio del transporte había aumentado en meses.,A Verónica le resultaba evidente que el precio del transporte no había aumentado en meses.
Fillers,NNR+ind+NPI,resultar evidente,NNR,ind,,yes,en,en,aumentar,B,220,40,A Verónica le resultaba evidente que el precio del transporte había aumentado en meses.,A Verónica le resultaba evidente que el precio del transporte no había aumentado en meses.
Fillers,NNR+ind+NPI,resultar evidente,NNR,ind,,yes,en,en,aumentar,C,220,40,A Verónica le resultaba evidente que el precio del transporte había aumentado en meses.,A Verónica le resultaba evidente que el precio del transporte no había aumentado en meses.
Fillers,NNR+ind+NPI,resultar evidente,NNR,ind,,yes,en,en,aumentar,D,220,40,A Verónica le resultaba evidente que el precio del transporte había aumentado en meses.,A Verónica le resultaba evidente que el precio del transporte no había aumentado en meses.
Fillers,NNR+ind+NPI,resultar evidente,NNR,ind,,yes,en,en,aumentar,E,220,40,A Verónica le resultaba evidente que el precio del transporte había aumentado en meses.,A Verónica le resultaba evidente que el precio del transporte no había aumentado en meses.
Fillers,NNR+ind+NPI,resultar evidente,NNR,ind,,yes,en,en,aumentar,F,220,40,A Verónica le resultaba evidente que el precio del transporte había aumentado en meses.,A Verónica le resultaba evidente que el precio del transporte no había aumentado en meses.
Fillers,NNR+subj+2,ser consciente,NNR,subj,se,no,,,subir,A,225,45,Anabel era consciente de que el precio del alquiler hubiese subido tanto ese año.,Anabel era consciente de que el precio del alquiler no había subido tanto ese año.
Fillers,NNR+subj+2,ser consciente,NNR,subj,se,no,,,subir,B,225,45,Anabel era consciente de que el precio del alquiler hubiese subido tanto ese año.,Anabel era consciente de que el precio del alquiler no había subido tanto ese año.
Fillers,NNR+subj+2,ser consciente,NNR,subj,se,no,,,subir,C,225,45,Anabel era consciente de que el precio del alquiler hubiese subido tanto ese año.,Anabel era consciente de que el precio del alquiler no había subido tanto ese año.
Fillers,NNR+subj+2,ser consciente,NNR,subj,se,no,,,subir,D,225,45,Anabel era consciente de que el precio del alquiler hubiese subido tanto ese año.,Anabel era consciente de que el precio del alquiler no había subido tanto ese año.
Fillers,NNR+subj+2,ser consciente,NNR,subj,se,no,,,subir,E,225,45,Anabel era consciente de que el precio del alquiler hubiese subido tanto ese año.,Anabel era consciente de que el precio del alquiler no había subido tanto ese año.
Fillers,NNR+subj+2,ser consciente,NNR,subj,se,no,,,subir,F,225,45,Anabel era consciente de que el precio del alquiler hubiese subido tanto ese año.,Anabel era consciente de que el precio del alquiler no había subido tanto ese año.
Fillers,NNR+subj+3,resultar evidente,NNR,subj,ra,no,,,aumentar,A,226,46,A Carlos le resultaba evidente el precio del cine hubiera aumentado.,A Carlos le resultaba evidente el precio del cine no había aumentado.
Fillers,NNR+subj+3,resultar evidente,NNR,subj,ra,no,,,aumentar,B,226,46,A Carlos le resultaba evidente el precio del cine hubiera aumentado.,A Carlos le resultaba evidente el precio del cine no había aumentado.
Fillers,NNR+subj+3,resultar evidente,NNR,subj,ra,no,,,aumentar,C,226,46,A Carlos le resultaba evidente el precio del cine hubiera aumentado.,A Carlos le resultaba evidente el precio del cine no había aumentado.
Fillers,NNR+subj+3,resultar evidente,NNR,subj,ra,no,,,aumentar,D,226,46,A Carlos le resultaba evidente el precio del cine hubiera aumentado.,A Carlos le resultaba evidente el precio del cine no había aumentado.
Fillers,NNR+subj+3,resultar evidente,NNR,subj,ra,no,,,aumentar,E,226,46,A Carlos le resultaba evidente el precio del cine hubiera aumentado.,A Carlos le resultaba evidente el precio del cine no había aumentado.
Fillers,NNR+subj+3,resultar evidente,NNR,subj,ra,no,,,aumentar,F,226,46,A Carlos le resultaba evidente el precio del cine hubiera aumentado.,A Carlos le resultaba evidente el precio del cine no había aumentado.
Fillers,NNR+subj+4,asegurar,NNR,subj,ra,no,,,ganar,A,227,47,Antonio aseguraba que su hijo fuera a ganar la lotería ese año.,Antonio aseguraba que su hijo no iba a ganar la lotería ese año.
Fillers,NNR+subj+4,asegurar,NNR,subj,ra,no,,,ganar,B,227,47,Antonio aseguraba que su hijo fuera a ganar la lotería ese año.,Antonio aseguraba que su hijo no iba a ganar la lotería ese año.
Fillers,NNR+subj+4,asegurar,NNR,subj,ra,no,,,ganar,C,227,47,Antonio aseguraba que su hijo fuera a ganar la lotería ese año.,Antonio aseguraba que su hijo no iba a ganar la lotería ese año.
Fillers,NNR+subj+4,asegurar,NNR,subj,ra,no,,,ganar,D,227,47,Antonio aseguraba que su hijo fuera a ganar la lotería ese año.,Antonio aseguraba que su hijo no iba a ganar la lotería ese año.
Fillers,NNR+subj+4,asegurar,NNR,subj,ra,no,,,ganar,E,227,47,Antonio aseguraba que su hijo fuera a ganar la lotería ese año.,Antonio aseguraba que su hijo no iba a ganar la lotería ese año.
Fillers,NNR+subj+4,asegurar,NNR,subj,ra,no,,,ganar,F,227,47,Antonio aseguraba que su hijo fuera a ganar la lotería ese año.,Antonio aseguraba que su hijo no iba a ganar la lotería ese año.
Fillers,NNR+subj+5,recordar,NNR,subj,ra,no,,,comprar,A,228,48,Ángel recordaba que su prima fuera a comprarse un coche nuevo ese año.,Ángel recordaba que su prima no iba a comprarse un coche nuevo ese año.
Fillers,NNR+subj+5,recordar,NNR,subj,ra,no,,,comprar,B,228,48,Ángel recordaba que su prima fuera a comprarse un coche nuevo ese año.,Ángel recordaba que su prima no iba a comprarse un coche nuevo ese año.
Fillers,NNR+subj+5,recordar,NNR,subj,ra,no,,,comprar,C,228,48,Ángel recordaba que su prima fuera a comprarse un coche nuevo ese año.,Ángel recordaba que su prima no iba a comprarse un coche nuevo ese año.
Fillers,NNR+subj+5,recordar,NNR,subj,ra,no,,,comprar,D,228,48,Ángel recordaba que su prima fuera a comprarse un coche nuevo ese año.,Ángel recordaba que su prima no iba a comprarse un coche nuevo ese año.
Fillers,NNR+subj+5,recordar,NNR,subj,ra,no,,,comprar,E,228,48,Ángel recordaba que su prima fuera a comprarse un coche nuevo ese año.,Ángel recordaba que su prima no iba a comprarse un coche nuevo ese año.
Fillers,NNR+subj+5,recordar,NNR,subj,ra,no,,,comprar,F,228,48,Ángel recordaba que su prima fuera a comprarse un coche nuevo ese año.,Ángel recordaba que su prima no iba a comprarse un coche nuevo ese año.
